element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,opponent_strength,oppoenet_attack,opponent_defense,form,preround_total_points,transfers_reduced,average_points,preround_influence,preround_creativity,preround_threat,preround_ict
626,29,15,1,False,2023-08-27T15:30:00Z,1,2,3,13,0,0,0,0,0,0,0,0,0,0,0,2,2.2,0.1,0.0,0.2,0,0.00,0.00,0.00,0.40,40,-251,4054,251,502,1220,1250,1310,2.0,4,-0.06191415885545141,1.3333333333333333,5.133333333333334,15.733333333333333,15.733333333333333,3.133333333333333
626,37,2,1,True,2023-09-03T13:00:00Z,3,0,4,19,0,0,0,0,0,0,0,0,0,0,0,3,3.8,0.1,0.0,0.4,0,0.00,0.00,0.00,0.08,40,632,5460,1139,507,1175,1190,1160,2.0,6,0.11575091575091576,1.5,7.050000000000001,23.875,23.875,4.55
628,9,7,1,False,2023-08-13T15:30:00Z,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.8,0.0,0.1,0,0.00,0.00,0.00,0.14,45,0,3552,0,0,1115,1130,1210,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
668,14,3,1,True,2023-08-19T14:00:00Z,3,1,2,27,0,0,0,0,0,0,0,0,0,0,0,4,6.6,0.8,0.0,0.7,0,0.00,0.01,0.01,1.09,55,0,0,0,0,1095,1100,1090,3.0,3,0.0,1.5,14.9,21.3,21.3,3.9
668,29,15,1,False,2023-08-27T15:30:00Z,1,2,3,57,0,0,0,1,0,0,0,0,0,0,0,7,7.2,1.0,0.0,0.8,1,0.00,0.00,0.00,1.25,55,1956,3451,2335,379,1220,1250,1310,2.0,4,0.5667922341350333,1.3333333333333333,14.266666666666666,32.333333333333336,32.333333333333336,5.7
668,37,2,1,True,2023-09-03T13:00:00Z,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.3,0.0,0.1,0,0.00,0.00,0.00,0.00,55,96,4487,1134,1038,1175,1190,1160,5.333333333333333,16,0.021395141519946512,4.0,27.099999999999998,36.45,36.45,8.350000000000001
52,4,5,2,False,2023-08-12T14:00:00Z,4,1,1,90,0,0,0,4,0,0,0,0,0,0,0,9,12.8,10.8,2.0,2.6,1,0.01,0.01,0.02,4.10,45,0,112853,0,0,1165,1120,1200,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,26,7,1,False,2023-08-25T19:00:00Z,3,0,3,90,0,0,0,3,0,0,0,1,0,0,0,11,12.2,23.1,0.0,3.5,1,0.00,0.02,0.02,2.09,45,-13424,109146,4746,18170,1115,1130,1210,3.0,3,-0.12299122276583659,1.5,17.7,12.0,12.0,2.95
52,38,19,1,True,2023-09-01T19:00:00Z,1,2,4,90,0,0,0,2,0,0,0,1,0,0,0,17,15.0,27.2,0.0,4.2,1,0.00,0.22,0.22,1.06,45,-12497,97418,3352,15849,1140,1150,1130,2.5,5,-0.1282822476339075,1.6666666666666667,17.53333333333333,9.766666666666667,9.766666666666667,4.0
314,4,5,2,False,2023-08-12T14:00:00Z,4,1,1,63,0,0,0,1,0,0,0,0,0,0,0,5,5.0,10.8,0.0,1.6,1,0.00,0.09,0.09,1.55,50,0,96850,0,0,1165,1120,1200,4.0,12,0.0,3.0,28.15,9.525,9.525,5.975
314,26,7,2,False,2023-08-25T19:00:00Z,3,0,3,69,0,0,0,2,0,0,0,0,0,0,0,1,1.6,11.9,4.0,1.8,1,0.00,0.06,0.06,1.52,50,-10646,82300,2715,13361,1115,1130,1210,0.0,0,-0.12935601458080195,0.0,0.0,0.0,0.0,0.0
314,38,19,2,True,2023-09-01T19:00:00Z,1,2,4,70,0,0,0,1,0,0,0,0,0,0,0,2,2.2,11.8,23.0,3.7,1,0.40,0.01,0.41,0.86,49,-6896,76701,3402,10298,1140,1150,1130,1.0,1,-0.08990756313477008,0.5,3.3,1.1,1.1,0.55
315,4,5,0,False,2023-08-12T14:00:00Z,4,1,1,75,0,0,0,2,0,0,0,1,0,0,0,6,13.2,0.7,0.0,1.4,1,0.00,0.00,0.00,2.34,40,0,64219,0,0,1165,1120,1200,1.0,2,0.0,0.6666666666666666,7.266666666666666,3.0666666666666664,3.0666666666666664,1.1
315,26,7,1,False,2023-08-25T19:00:00Z,3,0,3,13,0,0,0,0,0,0,0,0,0,0,0,5,1.4,0.1,0.0,0.2,0,0.00,0.00,0.00,0.08,40,-3726,60414,2019,5745,1115,1130,1210,0.0,0,-0.06167444632038931,0.0,0.0,0.0,0.0,0.0
